,ntaname,boro_name,count,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
46,Woodlawn-Wakefield,Bronx,2,344825.0,346163.0,347772.5,347374.0,349215.5,351648.0,355336.0,358035.0,360822.5,363657.5,365951.5
47,Bronxdale,Bronx,1,537733.0,540029.0,541640.0,539893.0,540083.0,542066.0,547766.0,554508.0,561312.0,569224.0,574051.0
48,South Ozone Park,Queens,1,520056.0,521046.0,522444.0,524114.0,526252.0,526582.0,527698.0,529856.0,532842.0,536602.0,539402.0
49,Bath Beach,Brooklyn,1,498541.0,497241.0,496100.0,495917.0,495778.0,495517.0,497288.0,499188.0,502812.0,506560.0,510212.0
50,Bensonhurst West,Brooklyn,2,593393.5,591903.5,590422.5,590669.0,591073.5,591292.5,591302.5,591731.5,594570.0,597859.0,600989.0
51,Maspeth,Queens,1,711484.0,713428.0,715659.0,716050.0,717007.0,717569.0,718936.0,720974.0,722827.0,726618.0,728893.0
52,Arden Heights,Staten Island,1,409880.0,409496.0,409339.0,409607.0,411024.0,411989.0,413268.0,414211.0,416114.0,416509.0,417673.0
53,Elmhurst-Maspeth,Queens,2,537877.5,538530.0,539088.5,538715.0,538578.0,538083.0,538087.0,539225.0,540692.0,543835.0,546174.5
54,College Point,Queens,1,657903.0,656026.0,654320.0,651859.0,650558.0,650033.0,650098.0,650237.0,650782.0,652869.0,655032.0
55,North Side-South Side,Brooklyn,1,903978.0,901389.0,901774.0,901304.0,904486.0,905874.0,908136.0,910025.0,912981.0,915815.0,918748.0
56,Rikers Island,Bronx,1,432033.0,432776.0,432561.0,431434.0,431135.0,430728.0,431828.0,432437.0,433654.0,437412.0,442265.0
57,Brownsville,Brooklyn,1,452490.0,455336.0,457261.0,459581.0,462696.0,466572.0,471416.0,475960.0,481318.0,488235.0,494928.0
58,Schuylerville-Throgs Neck-Edgewater Park,Bronx,1,482367.0,483055.0,484188.0,483311.0,484450.0,485541.0,488949.0,491765.0,495393.0,500188.0,502649.0
59,Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,4,597044.25,596183.5,595795.75,596395.25,597994.75,598538.25,600274.5,602028.5,605329.25,606149.25,608491.0
60,Battery Park City-Lower Manhattan,Manhattan,2,992001.5,988435.0,984199.5,976720.0,972876.0,970151.0,968504.0,962975.0,958724.0,957048.5,958702.0
61,Lincoln Square,Manhattan,1,1175512.0,1175502.0,1170589.0,1160170.0,1160121.0,1159339.0,1158839.0,1164965.0,1171275.0,1178386.0,1174918.0
62,Midtown-Midtown South,Manhattan,1,1153980.0,1158805.0,1160296.0,1159503.0,1158655.0,1157161.0,1151471.0,1142567.0,1138986.0,1143143.0,1148147.0
63,Prospect Lefferts Gardens-Wingate,Brooklyn,2,665920.0,667388.0,667624.0,667621.5,667593.0,667434.5,667845.5,668407.5,671472.5,671286.0,671419.0
64,Highbridge,Bronx,2,263709.0,265269.5,266764.5,265864.5,265852.0,266254.0,268235.0,269139.0,269147.5,269076.5,270128.5
65,Seagate-Coney Island,Brooklyn,1,550049.0,546803.0,541985.0,540006.0,534536.0,529095.0,519745.0,509252.0,500090.0,489784.0,478164.0
66,Windsor Terrace,Brooklyn,1,718897.0,715991.0,711689.0,709330.0,708212.0,708423.0,711096.0,715729.0,720631.0,721959.0,723029.0
67,Canarsie,Brooklyn,1,498302.0,500433.0,501794.0,504232.0,507004.0,510330.0,513851.0,517051.0,520759.0,524422.0,527490.0
68,North Riverdale-Fieldston-Riverdale,Bronx,3,325414.33333333326,325453.33333333326,325572.0,322945.33333333326,321244.66666666674,320239.0,321381.66666666674,321547.0,321290.33333333326,322010.33333333326,323250.0
69,Spuyten Duyvil-Kingsbridge,Bronx,2,268935.5,270990.5,271245.0,268701.0,267632.0,267443.5,268934.5,270547.0,271797.5,273815.5,275949.0
70,Flatbush,Brooklyn,2,583771.5,581603.5,578528.0,578563.5,580280.5,584362.5,586204.0,589292.0,592369.5,592750.5,592178.0
71,Flatlands,Brooklyn,1,517284.0,517311.0,518550.0,521112.0,525297.0,530825.0,535062.0,541187.0,547153.0,554908.0,561199.0
72,Douglas Manor-Douglaston-Little Neck,Queens,1,822076.0,820884.0,820613.0,819119.0,819853.0,819437.0,820942.0,821137.0,822000.0,824663.0,826986.0
73,Soundview-Castle Hill-Clason Point-Harding Park,Bronx,2,420077.5,422024.0,423505.5,422754.0,423599.0,425352.5,428771.5,430878.5,433009.0,436172.0,439677.0
